# Gaudi2 训练底座依赖版本锁定文件
# 用于 LLaMA-Factory 0.7.1 + Qwen2-VL 多模态训练

# ==================================================
# 核心训练框架（版本严格锁定）
# ==================================================
transformers==4.48.3          # 支持 AutoModelForVision2Seq，Qwen2-VL 必需
tokenizers==0.19.1            # 与 transformers 4.48.3 配套
accelerate==0.31.0            # LLaMA-Factory 0.7.1 要求 >=0.27.2
peft==0.11.1                  # LoRA 训练
optimum-habana==1.24.1        # Gaudi HPU 适配层

# ==================================================
# 数据处理
# ==================================================
datasets==2.20.0              # HuggingFace 数据集
pillow>=10.0.0                # 图像处理
sentencepiece>=0.1.99         # Tokenizer
protobuf>=3.20.0              # 数据序列化

# ==================================================
# 训练工具
# ==================================================
tensorboard>=2.13.0           # 训练可视化
einops>=0.6.1                 # Tensor 操作
scipy>=1.10.0                 # 科学计算

# ==================================================
# LLaMA-Factory 依赖（非核心）
# ==================================================
trl>=0.8.1                    # RLHF 训练（可选）
gradio>=4.0.0                 # WebUI（可选）
matplotlib>=3.7.0             # 绘图
fire>=0.5.0                   # CLI 工具
pyyaml>=6.0                   # 配置文件
nltk>=3.8                     # NLP 工具
jieba>=0.42                   # 中文分词
rouge-chinese>=1.0.3          # 评估指标

# ==================================================
# API 服务（可选）
# ==================================================
uvicorn>=0.22.0               # ASGI 服务器
pydantic>=2.0.0               # 数据验证
fastapi>=0.100.0              # Web 框架
sse-starlette>=1.6.0          # SSE 流式响应

# ==================================================
# DeepSpeed（Habana fork，需从源码安装）
# ==================================================
# git+https://github.com/HabanaAI/DeepSpeed.git@1.24.1

# ==================================================
# 注意事项
# ==================================================
# 1. transformers 必须 4.48.3，不能用 5.x（移除了 AutoModelForVision2Seq）
# 2. accelerate 必须 <=1.7.0（LLaMA-Factory 0.7.1 限制）
# 3. optimum-habana 必须与 Gaudi 驱动版本匹配（1.24.1）
# 4. DeepSpeed 必须使用 Habana fork，不能用 PyPI 版本
